,factor 1 score,factor 2 score,factor 3 score,factor 4 score,country
0,41.10811987840561,51.26728390728933,44.70363215174309,17.880981092066023,GB
1,57.90186651463433,48.47202128829514,42.158296285171176,20.258958715094913,MY
2,48.158084810674985,39.72610702694835,34.84285289643032,15.545966854654255,GB
3,51.89724955122727,44.781373535544546,35.9137487213669,17.93378939247803,GB
4,38.95252467734885,41.669826808583466,40.399504323444624,16.8457180840335,KE
5,52.19243292397128,42.45263334979154,35.34507439729122,15.298380892826561,SE
6,42.96313664580979,57.26770634299352,39.18115838722415,22.404824801556895,US
7,52.077529844994274,46.41664175717479,42.67488558650333,19.043688497778913,MY
8,45.218061453227435,38.59287897202056,36.288885380954135,15.872034039564003,GB
9,32.004206525693,36.96997272038659,27.635145156298687,15.557753401156702,FI
10,32.55074808511486,34.5017215135231,33.044339633498815,12.918846222355233,UA
11,46.98931833417632,41.26218881189701,37.32765015565819,13.958080219131789,PH
13,42.031530471112234,51.94805535358507,39.54104276870202,17.407434493556742,GB
14,44.69052064958301,55.58471151378071,38.348016687562875,19.144264597931596,AU
15,51.91363881772489,45.07349359499092,34.96604162325339,18.97199130110728,IN
16,52.597931357141896,41.30827769943723,33.92703842790263,17.130409010873112,CA
17,40.11810409149616,46.214941948855255,37.8052200853211,22.104551128556125,NL
18,32.65024222875117,47.54551955492302,44.584235053551474,16.609332648455645,ZA
19,51.097875874014655,46.49296469073072,39.73550701202882,18.366795992190326,HK
20,35.213289923265826,48.278382784106334,45.804171910251746,17.041918326611164,GB
21,36.07389425659194,42.9254749318017,43.29478921202749,15.130210664488365,US
23,39.48047422604307,44.1971667819274,46.0130710913189,17.6943030155309,BR
24,37.16290457282871,43.36781849330644,43.782981835852524,14.007694021904273,AU
25,38.96179546527302,47.56216373981883,40.92708372274039,15.861111178816001,CA
26,42.83925395922902,34.43156274482398,28.646982802691337,14.491453306387259,GB
27,52.72520448172064,46.00938271942557,42.795926641905936,17.48853598894752,AU
28,36.8292311554898,40.013620610971614,45.54635539974967,17.273823550484412,GB
29,39.64736955352967,47.243656248768815,39.65635429812654,20.45466583719209,GB
30,4.438005237467528,6.579580121719235,5.329612897554934,2.5235069195603868,SE
31,53.07678922419423,42.33808233077609,36.9169268466975,17.121090538260187,CH
32,50.13382102761191,42.97623087342622,38.25455406910408,18.58130462614179,FR
33,48.67290855632695,43.29770994694396,37.008827404550175,15.782992673499187,FR
34,44.4367380222491,51.871794329131276,37.490135606349384,19.192540529452227,GB
35,36.465850594592816,45.28868484563546,34.48477504965667,13.654297373232332,GB
36,51.397506861233154,39.87330599893493,35.730039042214955,15.244738041838561,TH
37,53.00302240005027,45.8288707177373,32.94548604665222,18.88836359517947,GB
38,54.93403675583184,40.399473718767325,35.759802645919116,17.587677362944778,GB
39,60.15184815486473,43.591730536891774,31.681078385043364,18.15045646256673,GB
40,44.81270280970432,37.809411846540556,34.35012098873832,12.446124617247092,IT
41,52.42561102870412,45.30298547445607,40.62872901854671,17.503537619988258,AU
43,50.36647258211441,39.44724097258545,33.29823016087399,15.258899195567526,IN
44,62.381350616940324,45.32400488800206,40.04270193372873,20.816471116093904,ES
45,46.874749345417605,36.935568569253306,35.05145625302212,11.29845247075204,IN
46,33.543437908725544,44.08293116535309,49.05246465310536,19.551397398332185,FR
48,51.59372425119258,44.65120180077169,41.72131523469967,16.037034028051345,FR
50,48.49836020440017,58.40739593814428,37.34349310506927,20.392228012583953,HR
51,63.00620735546644,51.455008354175995,38.88279956453255,23.482070958677973,US
52,46.45990032652048,57.847078328222956,45.25702251283406,22.70361436657548,GR
53,51.72934597329417,48.43192073972383,43.18913220293376,18.57981466174464,IE
54,39.91869608543655,47.622297404761696,48.13568969729579,15.459796257224214,IN
55,52.374613959526165,42.2598512053714,37.9505093413673,14.600171967726437,GB
56,39.883772626708044,52.64849906271785,37.995762188488015,18.329529967931144,BR
57,55.4116156323564,44.47221812015425,40.71312302764626,17.928437803957433,GB
58,36.76056659621278,51.53994261289077,35.607221109788824,14.846666684959212,IN
59,2.515080123734182,2.873504656700834,2.184531609400486,1.6376950867120288,GB
60,50.56877050633593,40.07444520774007,36.43885304365278,14.479465979453266,OM
61,49.74773384397867,43.602760026232446,37.31478947815275,16.383883034187203,GB
62,42.100880986560114,46.649418145552374,41.918321669352146,21.219407113081324,KE
63,40.56912456052007,46.13723620645118,48.92883740980801,15.564691298291716,AU
64,41.90674839707393,52.83956600515721,37.94299922934109,20.134878038175923,ES
65,42.790320635263576,54.808884647554514,34.60399530926528,17.279645597778703,FR
66,35.02894267522198,41.84407611299844,46.63080997322497,17.12506928092074,GB
67,55.09814706746085,48.23113844491057,37.004428423854414,20.553118242912017,GB
68,50.63569722441953,45.956938270677014,38.46143940208123,18.375661735193155,PH
69,52.40310410024122,45.36481612844301,37.4363246714257,17.72177719397545,HK
70,57.28809715571782,52.321471237833556,48.53331128629774,21.3456976203823,PH
71,39.955308403186095,44.17808877430857,42.75197036347957,17.74629638306246,US
72,1.489905360055772,2.7772688177986313,0.646658499559969,-0.055351259688158586,HK
73,44.765367536364245,56.722914599395665,40.744597441739636,16.30938302229622,DE
